VehicleTypeId,Description,Year,Month,Count,Amount
1,MOPED/SCOOTER                                ,1989,4,2,293
1,MOPED/SCOOTER                                ,1989,7,1,162
1,MOPED/SCOOTER                                ,1989,8,1,144
1,MOPED/SCOOTER                                ,1989,10,1,144
9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1989,12,1,216
1,MOPED/SCOOTER                                ,1990,4,1,126
2,MOTOR CYCLE                                  ,1990,4,1,277
4,PRIVATE MOTOR CAR/JEEP CAR,1991,2,2,2714
1,MOPED/SCOOTER                                ,1991,4,1,601
2,MOTOR CYCLE                                  ,1994,3,1,27
1,MOPED/SCOOTER                                ,1995,3,1,72
4,PRIVATE MOTOR CAR/JEEP CAR,1996,5,1,890
1,MOPED/SCOOTER                                ,1997,1,2,217
4,PRIVATE MOTOR CAR/JEEP CAR,1997,1,1,216
2,MOTOR CYCLE                                  ,1997,2,1,180
2,MOTOR CYCLE                                  ,1997,3,1,63
4,PRIVATE MOTOR CAR/JEEP CAR,1997,3,2,144
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,1997,3,2,1995
21,TEMPO,1997,3,7,2062
1,MOPED/SCOOTER                                ,1997,4,312,21230
2,MOTOR CYCLE                                  ,1997,4,105,7022
3,AUTO RICKSHAW,1997,4,24,1861
4,PRIVATE MOTOR CAR/JEEP CAR,1997,4,100,13076
9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,4,8,2606
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1997,4,3,1590
21,TEMPO,1997,4,9,1734
1,MOPED/SCOOTER                                ,1997,5,273,23720
2,MOTOR CYCLE                                  ,1997,5,94,5730
3,AUTO RICKSHAW,1997,5,8,696
4,PRIVATE MOTOR CAR/JEEP CAR,1997,5,55,7396
9,LOADING TRUCK/TEMPO/TRACTOR 2 TO 4 TON       ,1997,5,6,2346
10,LOADING TRUCK/TEMPO/TRACTOR 4 TO 8 TON       ,1997,5,3,540
21,TEMPO,1997,5,6,938
1,MOPED/SCOOTER                                ,1997,6,110,9812
2,MOTOR CYCLE                                  ,1997,6,36,3045
3,AUTO RICKSHAW,1997,6,5,1294
